-8.953576569623082876e+06,-8.831068488818898797e+06
-8.955155253226004541e+06,-8.831643082659685984e+06
-8.956733936828924343e+06,-8.832217676500473171e+06
-8.958312620431844145e+06,-8.832792270341260359e+06
-8.959891304034765810e+06,-8.833366864182047546e+06
-8.952673952453507110e+06,-8.828959799592187628e+06
-8.954252636056426913e+06,-8.829534393432974815e+06
-8.955831319659346715e+06,-8.830108987273762003e+06
-8.957410003262268379e+06,-8.830683581114549190e+06
-8.958988686865188181e+06,-8.831258174955336377e+06
-8.951771335283929482e+06,-8.826851110365476459e+06
-8.953350018886849284e+06,-8.827425704206263646e+06
-8.954928702489769086e+06,-8.828000298047050834e+06
-8.956507386092690751e+06,-8.828574891887838021e+06
-8.958086069695610553e+06,-8.829149485728625208e+06
-8.950868718114351854e+06,-8.824742421138767153e+06
-8.952447401717271656e+06,-8.825317014979554340e+06
-8.954026085320193321e+06,-8.825891608820339665e+06
-8.955604768923113123e+06,-8.826466202661126852e+06
-8.957183452526032925e+06,-8.827040796501914039e+06
-8.949966100944774225e+06,-8.822633731912055984e+06
-8.951544784547695890e+06,-8.823208325752843171e+06
-8.953123468150615692e+06,-8.823782919593630359e+06
-8.954702151753535494e+06,-8.824357513434417546e+06
-8.956280835356455296e+06,-8.824932107275204733e+06
